facilityName,city,region,Country,sector_en,activity_en,cost_2021
TotalEnergies Petrochemicals Feluy SA,Feluy,Région wallonne,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",22995368
A&U ENERGIE,Wielsbeke,Flandre-Occidentale,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,22734718
ELECTRABEL WKK COVESTRO,Antwerpen,Anvers,Belgium,Energy sector,Thermal power stations and other combustion installations,22696620
CAMPINE,Beerse,Anvers,Belgium,Production and processing of metals,"Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes",22461216
TEREOS STARCH & SWEETENERS BELGIUM,Aalst,Région flamande,Belgium,Animal and vegetable products from the food and beverage sector,Treatment and processing intended for the production of food and beverage products from vegetable raw materials,21103040
INDAVER Site DOEL,Beveren,Région flamande,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,20916976
INEOS FELUY,Feluy,Région wallonne,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)",20756136
VYNOVA BELGIUM,Tessenderlo,Limbourg,Belgium,Chemical industry,Chemical installations for the production on an industrial scale of basic organic chemicals: Halogenic hydrocarbons,20659746
CARRIERES UNIES DE PORPHYRE - Site de Lessines,Lessines,Région wallonne,Belgium,Mineral industry,Opencast mining and quarrying,20294162
ELECTRABEL SITE ARLANXEO,Zwijndrecht,Anvers,Belgium,Energy sector,Thermal power stations and other combustion installations,19362584
SLIB EN CO-VERWERKINGS CENTRALE,Beveren,Région flamande,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,17415880
INEOS STYROLUTION BELGIUM,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)",17268468
RAIN CARBON,Zelzate,Région flamande,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",16829172
AGC GLASS EUROPE VESTIGING MOL,Mol,Anvers,Belgium,Mineral industry,"Installations for the manufacture of glass, including glass fibre",16726749
TIBI sc - Usine d'incinération,Aiseau,Hainaut,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,16643120
2VALORISE AMEL,Amblève,Liège,Belgium,Energy sector,Thermal power stations and other combustion installations,16382895
SAPPI LANAKEN,Lanaken,Limbourg,Belgium,Paper and wood production and processing,"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)",16316784
